,PoI_GT_centerLatAngle,PoI_GT_visibleMinLatAngle,PoI_GT_visibleMaxLatAngle,PoI_GT_minLatAngle,PoI_GT_maxLatAngle,PoI_GT_adjustedMinLatAngle,PoI_GT_adjustedMaxLatAngle,PoI_GT_centerLatAngle_predicted
4988,-0.257619669,-0.243579568,-0.1083726926,-0.438202526,-0.1083726926,-0.243579568,0.0,-0.20561442
914,-0.503004985,-0.6683222735000001,-0.2915836225,-0.7369383735000001,-0.2915836225,-0.7138785457499999,-0.2915836225,-0.3527397
4342,0.6284965265,0.463811678,0.7673404735,0.463811678,0.788016863,0.463811678,0.8191406000000001,0.41011107
2537,0.4500232305,0.317947676,0.4119655379999999,0.317947676,0.594836495,0.317947676,0.4119655379999999,0.2308065
4768,0.2224369279999999,0.165531677,0.183639895,0.165531677,0.2819751095,0.0,0.183639895,0.21497077
4155,0.6345682795,0.2815825634999999,0.7033009975,0.2815825634999999,0.994423869,0.2815825634999999,0.7086819275,0.33205396
3996,0.4184076874999999,0.305594855,0.36367725,0.305594855,0.53516528,0.305594855,0.36367725,0.26550233
1557,-0.271287109,-0.3776217785,-0.1720051464999999,-0.3776217785,-0.1720051464999999,-3.1420000000000003,-0.1720051464999999,-0.25011134
218,0.6204358685,0.4504864415,0.5932983939999998,0.4504864415,0.7841478995,0.4504864415,0.5932983939999998,0.3018989
985,-0.4354000795,-0.3132613125,-0.1834186405,-0.693559842,-0.1834186405,-0.3132613125,-0.1834186405,-0.22760962
3263,0.249299979,0.16013258,0.235796776,0.16013258,0.349048127,0.0,0.235796776,0.15092336
1859,0.4410693835,0.2012110909999999,0.3309247505,0.2012110909999999,0.719096466,0.2012110909999999,0.3309247505,0.23708534
4661,0.13938788585,0.0613040368874999,0.2235094225,0.0613040368874999,0.2235094225,0.0613040368874999,3.1420000000000003,0.21127063
238,-0.284744711,-0.238425897,-0.2075689584999999,-0.3659380605,-0.2075689584999999,-0.238425897,-0.2075689584999999,-0.23535019
3899,0.2867119915,0.13941169805,0.31012147,0.13941169805,0.4477275469999999,0.0,0.3104396057499999,0.21022543
4036,0.424608779,0.2717721855,0.3515391424999999,0.2717721855,0.5829756039999999,0.2717721855,0.3515391424999999,0.23126304
412,-0.441457477,-0.5383140270000001,-0.3088428775,-0.577676747,-0.3088428775,-0.5527433165,-0.3088428775,-0.2683559
1837,0.2341078459999999,0.1486193454999999,0.21631021,0.1486193454999999,0.3295608024999999,0.0,0.21631021,0.22524443
4262,0.1713097651999999,0.0868019816499999,0.262583026,0.0868019816499999,0.262583026,0.0868019816499999,3.1420000000000003,0.09231949
1053,0.5614471139999999,0.3454655105000001,0.7656151105,0.3454655105000001,0.7942090045000001,0.0,0.8475097549999999,0.2792921
1621,0.13569614025,0.066791382,0.2126659914999999,0.066791382,0.2126659914999999,0.066791382,3.1420000000000003,0.23771933
917,0.2162242845,0.1102407404,0.331769216,0.1102407404,0.331769216,0.1102407404,3.1420000000000003,0.22290844
3897,-0.598958017,-0.808054877,-0.367581867,-0.8244872630000002,-0.367581867,-0.9112743755,0.0,-0.43902263
2194,0.3336498369999999,0.2440379485,0.289159218,0.2440379485,0.4274338475,0.2440379485,0.289159218,0.25367647
1590,0.581743976,0.425542696,0.7277055494999999,0.425542696,0.7366946155,0.425542696,0.77704435675,0.43184632
