participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht
9,75.0,-0.19486939333333334,-0.36636029999999997,-0.27481571666666665,-247.63666666666666,-76.82,-8.37167656594213,-23.894709603333336,-0.5,-42.0,-18.105290396666664,6.8,1.1,4.0,1.6000000000000003,0.0,5.2,2.0,0.0,4.0,2.8284288737542576,far,non_dense,0.0,0.0,118,2,4,1
9,76.0,-0.19238454000000002,-0.3378241866666667,-0.24420022333333335,-114.24000000000001,-103.25666666666666,-5.946794037472382,-6.647648941,-0.5,-15.0,-8.352351059,7.599999999999999,1.5,4.0,2.0,0.0,5.599999999999999,2.0,0.0,5.0,1.9959930954321916,far,non_dense,0.0,0.0,118,2,4,1
9,77.0,-0.23174828666666666,-0.33578489333333333,-0.23962862333333335,-155.5533333333333,-124.10333333333334,-6.254470325911822,-3.627135430333334,-0.5,-15.0,-11.372864569666666,9.0,0.8000000000000002,4.0,1.8,0.0,7.2,1.0,0.0,4.0,2.165669419219299,far,non_dense,0.0,0.0,118,2,4,1
9,78.0,-0.18988675666666666,-0.25839603,-0.23474190666666664,147.13,-90.11333333333333,7.828749675492059,9.242984846666667,0.5,20.0,10.757015153333333,6.8,1.1,4.0,1.8,0.9,4.1,1.0,1.0,5.0,2.6613354712366752,far,non_dense,0.0,0.0,118,2,4,1
9,79.0,-0.19770032,-0.34834987,-0.2517129866666667,-211.92333333333332,-155.30333333333334,-9.36365848399019,0.494205863333334,-0.5,-15.0,-15.494205863333335,4.9,0.8000000000000002,4.0,1.5,0.0,3.4,1.0,0.0,4.0,2.997258760824858,far,non_dense,0.0,0.0,118,2,4,1
9,80.0,-0.15891107333333332,-0.36164368,-0.25854817,-255.9766666666667,-88.19333333333334,-11.865640707157894,-24.284952880000002,-0.5,-43.0,-18.715047119999998,8.1,1.0,4.0,5.2,0.0,2.9,2.0,0.0,4.0,5.696084758258383,far,non_dense,0.0,0.0,118,2,4,1
9,81.0,-0.16866804333333332,-0.36990454666666667,-0.2876958733333333,-374.65333333333336,-110.57666666666667,-15.580111565182897,-14.608226843333334,-0.5,-42.0,-27.39177315666667,3.5,0.8000000000000002,4.0,1.3999999999999997,0.0,2.1,2.0,0.0,3.0,5.030882194650068,far,non_dense,0.0,0.0,118,2,4,1
9,82.0,-0.21765017666666667,-0.23912323,-0.23891693,215.27333333333334,-150.23333333333332,8.133108974893224,3.594201213333333,0.5,19.333333333333332,15.73913212,8.9,0.8000000000000002,4.0,3.6,0.0,5.3,1.0,0.0,3.0,2.795737846468653,far,non_dense,0.0,0.0,118,2,4,1
9,83.0,-0.23250464,-0.22426157666666668,-0.24865364666666667,574.05,363.86666666666673,10.857644077997582,-21.97012539666667,0.5,20.0,41.97012539666667,8.1,1.3,4.0,0.0,4.6,3.5,0.0,1.0,4.0,3.439802310598109,far,non_dense,0.0,0.0,118,2,4,1
9,84.0,-0.21372407999999998,-0.19561308666666666,-0.22947695,286.02333333333337,-186.71333333333334,12.965526462111649,15.08817147,0.5,36.0,20.911828529999998,4.3,1.1,4.0,0.0,0.0,4.3,0.0,0.0,5.0,4.1614532845908805,far,non_dense,0.0,0.0,118,2,4,1
9,85.0,-0.19597026666666664,-0.25158958666666664,-0.24862736333333335,186.86,-138.47333333333333,7.480638445506252,7.338232503333334,0.5,21.0,13.661767496666668,7.400000000000001,0.8000000000000002,4.0,1.6000000000000003,0.8000000000000002,5.0,1.0,1.0,5.0,2.5638883454193344,far,non_dense,0.0,0.0,118,2,4,1
9,86.0,-0.21277376666666667,-0.24018340666666668,-0.24988687666666665,221.11333333333332,-141.1966666666667,8.44078419405256,11.83389195,0.5,28.0,16.166108050000002,6.3,0.6999999999999998,4.0,0.0,0.0,6.3,0.0,0.0,4.0,2.962813190054178,far,non_dense,0.0,0.0,118,2,4,1
9,87.0,-0.23513378333333335,-0.22782265666666665,-0.2527028233333333,225.08,-104.01666666666665,9.43588102980952,8.543879760000001,0.5,25.0,16.45612024,7.900000000000001,0.8000000000000002,4.0,1.1,0.4000000000000001,6.400000000000001,1.0,1.0,7.0,3.621060707299885,far,non_dense,0.0,0.0,118,2,4,1
9,89.0,-0.29943338,-0.20626005333333333,-0.22296706666666666,172.51333333333335,-102.12666666666667,6.9412005947181425,3.720483873333334,0.5,16.333333333333332,12.61284946,7.5,0.9,4.0,0.0,0.0,7.5,0.0,0.0,8.0,3.2674490755739503,far,non_dense,0.0,0.0,118,2,4,1
9,90.0,-0.20017206666666665,-0.28664291000000003,-0.24370610333333334,141.24333333333334,-116.41666666666667,5.57824399403916,9.673372682333333,0.5,20.0,10.326627317666667,12.4,1.7,4.0,8.0,0.0,4.4,1.0,0.0,2.0,2.0194648364041945,far,non_dense,0.0,0.0,118,2,4,1
9,91.0,-0.26451447666666666,-0.33716609,-0.25032314,-97.14666666666665,-106.71999999999998,-7.616199306157328,-9.897382143,-0.5,-17.0,-7.102617857000001,3.6,0.6999999999999998,4.0,0.6999999999999998,0.6,2.3,1.0,1.0,4.0,2.72730864767137,far,non_dense,0.0,0.0,118,2,4,1
9,92.0,-0.26717827666666666,-0.3267499333333333,-0.23586031333333332,-129.88,-124.46666666666665,-4.996258492385994,-5.504172308,-0.5,-15.0,-9.495827692,9.4,1.7,4.0,1.0,1.0,7.400000000000001,1.0,1.0,6.0,1.9282863642483246,far,non_dense,0.0,0.0,118,2,4,1
9,93.0,-0.19751537,-0.33568518999999997,-0.26863726,-134.31333333333336,-75.51333333333334,-6.15208825300932,-5.513374371,-0.5,-15.333333333333334,-9.819958962333333,10.1,1.3,4.0,2.0,0.0,8.1,1.0,0.0,6.0,2.257494553517492,far,non_dense,0.0,0.0,118,2,4,1
9,94.0,-0.20120762333333334,-0.33496046,-0.25017306,-161.28666666666666,-164.54999999999998,-7.4563086221837045,-3.20795815,-0.5,-15.0,-11.792041849999999,7.5,1.1,4.0,3.0,0.0,4.5,1.0,0.0,6.0,2.5911518195753267,far,non_dense,0.0,0.0,118,2,4,1
9,95.0,-0.21928306333333333,-0.19964573,-0.23869396,286.07,-87.86666666666667,12.338197040130355,22.751426233333333,0.5,43.666666666666664,20.915240433333334,4.3,0.8000000000000002,4.0,1.3,1.1,1.8999999999999997,1.0,1.0,2.0,4.385672617530129,far,non_dense,0.0,0.0,118,2,4,1
9,96.0,-0.20975820666666667,-0.35196502999999996,-0.23613984333333335,-212.4,-91.65666666666668,-10.453356757863832,0.5290560633333339,-0.5,-15.0,-15.529056063333334,5.0,1.0,4.0,0.0,1.1,3.9,0.0,1.0,5.0,4.765044241090215,far,non_dense,0.0,0.0,118,2,4,1
