,Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,side,difference,D_p,D_g,Trigger,Condition,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_b,frequency_m,frequency_c
12182,66,70.0,-0.27953753,-0.36993647,-0.23436576,-429.22,472.05,51.97850881199705,14.854253724435566,-516.4300000000001,214.65,106.088136485286,30.317531851572987,-34.0,-33.11506125009712,-15.98,-20.320166002301164,0.5,-0.8849387499028794,85.97850881199705,85.09357006209417,70,3,1.7,11.1,9.4,,3.8,6.1,5.5,0.6,0.0,4.0,1.0,0.0
12183,66,71.0,-0.24991587,-0.36009526,-0.25034326,-233.37,18.48000000000001,-20.574150330507177,6.193799083752967,,,-41.991840824565145,12.641543929939806,-33.0,-18.004896891885664,-15.51,,-0.5,-14.995103108114336,12.425849669492823,-2.569253438621512,71,3,0.6,7.3,6.7,,4.3,5.3,3.1,2.2,0.0,4.0,3.0,0.0
12184,66,71.0,-0.25331661,-0.36114189,-0.24878199,-235.45,19.25,-20.872167599481244,6.247122834545705,,,-42.60009407054122,12.75037770530778,-33.0,-18.16537246944543,-15.51,,-0.5,-14.83462753055457,12.127832400518756,-2.706795130035814,71,3,0.6,7.3,6.7,,4.3,5.3,3.1,2.2,0.0,4.0,3.0,0.0
12185,66,71.0,-0.24901854,-0.35883486,-0.25093377,0.8099999999999454,9.639999999999986,-21.216548399316395,6.306948864563813,,,-43.30297528300476,12.872482632574744,-33.0,0.062492893184327,-15.51,,-0.5,-33.06249289318433,11.783451600683604,-21.27904129250072,71,3,0.6,7.3,6.7,,4.3,5.3,3.1,2.2,0.0,4.0,3.0,0.0
12186,66,73.0,-0.29944816,-0.16214696,-0.22955818,-307.53,-13.889999999999986,2.401152363708817,1.7888503941992142,-307.53,-13.889999999999986,4.900751974329695,3.651043654560596,20.0,-23.7264684456511,9.4,-12.10049890728206,0.5,43.7264684456511,-17.598847636291183,26.12762080935992,73,4,,,,,4.2,6.0,0.0,0.0,6.0,0.0,0.0,7.0
12187,66,73.0,-0.30032104,-0.16607189,-0.23087305,-222.96,-73.57999999999998,2.350531099881281,1.7948259450663775,-307.53,-13.889999999999986,4.797433974857695,3.663239753880476,20.0,-17.201747486887037,9.4,-12.10049890728206,0.5,37.20174748688704,-17.64946890011872,19.55227858676832,73,4,,,,,4.2,6.0,0.0,0.0,6.0,0.0,0.0,7.0
12188,66,73.0,-0.2998293,-0.17038986,-0.23418128,-219.85,-57.81999999999999,2.360224099739632,1.8021859426501887,-307.53,-13.889999999999986,4.817217387568589,3.6782615089490354,20.0,-16.9618056377472,9.4,-12.10049890728206,0.5,36.9618056377472,-17.639775900260368,19.322029737486837,73,4,,,,,4.2,6.0,0.0,0.0,6.0,0.0,0.0,7.0
12189,66,73.0,-0.28924629,-0.17146192,-0.22588912,394.33,290.62,9.799687763496385,3.3288566975810894,394.33,290.62,20.00116272529612,6.794196519763003,25.0,30.42323773997204,11.75,15.51585124738574,0.5,-5.423237739972041,-15.200312236503615,-20.62354997647566,73,4,,,,,4.2,6.0,0.0,0.0,6.0,0.0,0.0,7.0
12190,66,73.0,-0.28844079,-0.17076516,-0.22581382,394.33,-4688.35,9.87008502143455,3.350977880186172,394.33,290.62,20.14484352874792,6.839345853459975,25.0,0.0,11.75,15.51585124738574,0.5,25.0,-15.12991497856545,9.87008502143455,73,4,,,,,4.2,6.0,0.0,0.0,6.0,0.0,0.0,7.0
12191,66,73.0,-0.28778207,-0.1697285,-0.22450508,-501.5,-388.75,10.038991886272196,3.373383551104637,-501.5,-388.75,20.489582439881552,6.885075827804563,25.0,-38.69158757029893,11.75,-19.732709660852453,0.5,63.69158757029893,-14.961008113727804,48.73057945657112,73,4,,,,,4.2,6.0,0.0,0.0,6.0,0.0,0.0,7.0
12192,66,74.0,-0.29035383,-0.35110983,-0.24785136,-197.5,25.269999999999985,13.504431923914025,4.388640264896813,,,27.56254555670852,8.957214780654395,-26.0,-15.237464696179538,-12.22,,0.5,-10.762535303820462,39.50443192391403,28.741896620093563,74,4,0.0,6.4,6.4,,8.5,6.2,1.6,4.6,0.0,3.0,4.0,0.0
12193,66,74.0,-0.28865945,-0.35043955,-0.24857128,-140.12,-52.69999999999999,13.691509535641655,4.424063831459762,,,27.944370962244623,9.029514280009373,-26.0,-10.810499003689504,-12.22,,0.5,-15.189500996310496,39.69150953564166,24.50200853933116,74,4,0.0,6.4,6.4,,8.5,6.2,1.6,4.6,0.0,3.0,4.0,0.0
12194,66,74.0,-0.29124156,-0.35033557,-0.24830854,-150.08999999999995,-53.420000000000016,13.865710406756744,4.459978230692936,,,28.29991494019051,9.102815568844283,-26.0,-11.579701651896642,-12.22,,0.5,-14.420298348103358,39.86571040675675,25.445412058653385,74,4,0.0,6.4,6.4,,8.5,6.2,1.6,4.6,0.0,3.0,4.0,0.0
12195,66,75.0,-0.31552622,-0.29967466,-0.24138825,449.65,306.97,-14.92037237869707,5.004052500465555,455.9200000000001,299.44000000000005,-30.45248002492072,10.213271153450195,-15.0,34.69127088930192,-7.05,17.93925620852613,-0.5,-49.69127088930192,0.0796276213029294,-49.611643267998986,75,4,4.0,6.5,2.5,,7.3,5.7,1.9,3.8,0.0,2.0,4.0,0.0
12196,66,75.0,-0.31627592,-0.30214605,-0.24163248,455.9200000000001,299.44000000000005,-15.129316950847876,5.052155350407445,455.9200000000001,299.44000000000005,-30.87893589668052,10.311449070181595,-15.0,35.17501217358064,-7.05,17.93925620852613,-0.5,-50.17501217358064,-0.1293169508478762,-50.30432912442852,75,4,4.0,6.5,2.5,,7.3,5.7,1.9,3.8,0.0,2.0,4.0,0.0
12197,66,75.0,-0.31747285,-0.2998668,-0.24145964,476.52,291.71000000000004,-15.284797758919966,5.101098840017208,476.52,291.71000000000004,-31.19627222595565,10.411342732475122,-15.0,36.764337605182135,-7.05,18.749812178642888,-0.5,-51.764337605182135,-0.2847977589199661,-52.0491353641021,75,4,4.0,6.5,2.5,,7.3,5.7,1.9,3.8,0.0,2.0,4.0,0.0
12198,66,76.0,-0.30795351,-0.29971927,-0.2355193,-204.94,-113.64999999999998,-9.653873505607772,3.1064949127341666,,,-19.70355582494546,6.340356116890434,-15.0,-15.811473492835615,-7.05,,-0.5,0.8114734928356153,5.346126494392228,6.157599987227844,76,4,4.4,11.2,6.8,,2.0,3.8,3.3,0.5,0.0,4.0,1.0,0.0
12199,66,76.0,-0.30729213,-0.29997346,-0.2345383,-204.62,-109.89,-9.69883926797804,3.125807156989059,,,-19.79533094594317,6.37977240741467,-15.0,-15.786784942441807,-7.05,,-0.5,0.7867849424418072,5.301160732021961,6.087945674463768,76,4,4.4,11.2,6.8,,2.0,3.8,3.3,0.5,0.0,4.0,1.0,0.0
