Participant,Trigger,Condition,Building,Left_Right,accurate_pointing,accurate_gaze,T_detection,T_pointing,T_action,T_conf,length_point,length_gaze,sum_length_gazeb,sum_length_gazem,sum_length_gazec,frequency_point,frequency_b,frequency_m,frequency_c,pointed_or_not,accurate_fused
10,83,4,5,0,1,1,0.6,0,-0.6,2,1.9,3.9,0,2,1.9,1,0,2,3,1,1
10,84,4,10,0,1,1,0.6,0.2,-0.4,1.3,1.7,3.7,0,2.2,1.5,1,0,1,3,1,1
10,85,4,6,0,1,1,2,0.4,-1.6,0.7,2.3,5.8,0,0.4,5.4,1,0,1,8,1,1
10,86,4,4,0,1,1,0.5,0.3,-0.2,2.6,1.4,4.6,1,0,3.6,1,1,0,5,1,1
10,87,4,8,0,0,0,1.9,0.2,-1.7,1.1,0.6,3.5,0,0,3.5,1,0,0,5,1,0
10,88,4,3,0,0,1,1.9,,,,,,,,,1,,,,0,0
10,89,4,0,0,1,0,1.9,0.4,-1.5,0.5,1,6.5,0,0,6.5,1,0,0,8,1,0
10,90,4,2,0,0,0,0,,,,,,,,,1,,,,0,0
10,91,4,11,1,0,0,3.5,,,,,,,,,1,,,,0,0
10,92,4,4,1,0,0,0.2,,,,,,,,,1,,,,0,0
10,93,4,7,1,0,0,2.4,,,,,,,,,1,,,,0,0
10,94,4,8,1,0,0,1.7,9.8,8.1,1.7,1.2,3.2,2.4,0,0.8,1,2,0,2,1,0
10,95,4,3,0,0,1,1.6,0.4,-1.2,1.9,1.5,2.8,0,0.6,2.2,1,0,1,2,1,1
10,96,4,0,1,0,0,0.3,,,,,,,,,1,,,,0,0
10,97,5,2,0,0,0,0.7,,,,,,,,,1,,,,0,0
10,98,5,0,0,1,0,2.4,1.6,-0.8,0.4,0.4,7.4,0,0,7.4,1,0,0,9,1,0
10,99,5,9,0,1,1,,,,,2.4,2.4,2.4,0,0,1,4,0,0,1,1
10,100,5,10,0,0,0,0,1.2,1.2,2.2,0.5,1.8,0.4,0,1.4,1,1,0,3,1,0
10,101,5,5,1,0,0,2,,,,,,,,,1,,,,0,0
10,102,5,11,0,0,0,1.1,5.8,4.7,1.8,0.9,2.4,1.6,0,0.8,1,3,0,2,1,0
10,103,5,0,0,0,1,1,2.3,1.3,1.9,0.9,7.1,1.1,1,5,1,1,2,8,1,0
10,104,5,10,1,0,0,2,,,,,,,,,1,,,,0,0
10,105,5,9,0,1,1,0,1.6,1.6,1.5,1.1,6.1,1.3,1.6,3.2,1,2,1,5,1,1
10,106,5,10,0,0,0,0.3,,,,,,,,,1,,,,0,0
10,107,5,2,0,0,1,0.7,,,,,,,,,1,,,,0,0
10,108,5,6,0,0,1,0.4,0.1,-0.3,2.1,1.1,8.8,0.7,1.2,6.9,1,1,1,6,1,0
10,109,5,9,0,1,1,0.9,0.3,-0.6,8.7,1.1,3.1,0,2.5,0.6,1,0,2,1,1,1
10,110,5,7,0,0,0,1.1,,,,,,,,,1,,,,0,0
10,111,5,2,1,0,1,0.6,0.7,0.1,2.2,1.4,4.2,0.8,1,2.4,1,1,1,3,1,1
10,112,5,4,0,1,1,0,1.3,1.3,1.8,1.8,6.1,1.8,0.4,3.9,1,2,1,5,1,1
10,113,5,3,0,1,1,0.7,0.5,-0.2,2,0.4,3.2,0.4,0,2.8,1,1,0,3,1,1
10,114,5,8,0,1,1,1.3,3.6,2.3,1.2,1,5.6,2.3,0,3.3,1,2,0,4,1,1
10,115,5,2,0,1,1,0,1,1,2.9,1.1,4.5,1.6,0,2.9,1,1,0,3,1,1
10,116,5,7,1,0,1,0.1,0.5,0.4,1.1,1.2,6.9,0.4,1,5.5,1,1,1,6,1,1
10,117,5,1,1,0,1,1.1,1.7,0.6,0.5,1.3,5.8,1.2,0.4,4.2,1,1,1,6,1,1
10,118,5,11,0,1,1,0.5,3,2.5,1,1.2,5,2.7,0,2.3,1,2,0,4,1,1
10,119,5,2,0,1,1,0.5,0.6,0.1,2,1.6,4.2,1.4,0,2.8,1,1,0,5,1,1
10,120,5,3,1,0,1,0.6,0.2,-0.4,6.5,0.6,2.1,0,0.4,1.7,1,0,1,1,1,0
11,1,1,2,1,0,0,,,,,,,,,,1,,,,0,0
11,2,1,7,0,1,0,4.9,9.1,4.2,,4,0.4,0.4,0,0,1,1,0,0,1,0
11,3,1,1,1,0,0,0.7,,,,,,,,,1,,,,0,0
11,4,1,3,0,0,1,0.9,4.8,3.9,1.4,1.6,3.6,2.3,0,1.3,1,2,0,1,1,1
11,5,1,6,0,1,1,4.2,3.1,-1.1,,9.6,4.2,0,4.2,0,1,0,5,0,1,1
11,6,1,5,0,0,1,0.1,11.4,11.3,,1.1,2.8,2.2,0.6,0,1,3,1,0,1,0
11,7,1,2,0,1,1,3.4,7,3.6,2.6,1.6,4.5,1,0.6,2.9,1,2,1,3,1,1
11,8,1,9,0,0,1,0.2,5.6,5.4,0.5,8.3,4.3,2.2,1.5,0.6,1,3,2,1,1,1
11,9,1,4,0,0,1,1,7.8,6.8,0.8,4.3,4.8,2.1,1.4,1.3,1,2,1,1,1,1
11,10,1,7,0,0,1,8.3,4.3,-4,0.5,3.5,2.1,0,0,2.1,1,0,0,3,1,1
11,11,1,11,0,0,1,1.9,3.6,1.7,4.8,3,3.8,0.6,2.5,0.7,1,1,2,1,1,1
11,12,1,8,0,0,1,0.2,2.8,2.6,6.2,0.9,2.2,1.5,0,0.7,1,2,0,1,1,1
11,13,1,6,0,0,1,3.7,7.8,4.1,3.5,1.5,5.5,1.4,2.3,1.8,1,2,1,1,1,1
11,14,1,8,0,1,1,2,0.1,-1.9,1.5,0.4,4.4,0,0,4.4,1,0,0,6,1,1
11,15,1,4,0,1,1,1,0.9,-0.1,2.5,0.9,6,1,0,5,1,1,0,6,1,1
11,16,1,5,0,0,1,3.3,3.4,0.1,0.8,8,7.1,0.9,5.3,0.9,1,1,4,2,1,1
11,17,1,2,0,1,1,0.3,4.9,4.6,2.6,0.7,3.9,2,0.4,1.5,1,3,1,3,1,1
11,18,1,7,1,0,0,1.4,4.2,2.8,1.1,0.6,2.8,1.3,0,1.5,1,2,0,3,1,0
11,19,1,0,0,0,1,0.4,0.4,0,0.6,0.6,8.6,0.8,0,7.8,1,1,0,9,1,1
11,20,1,10,1,1,0,2.5,6.7,4.2,6.9,0.7,1.8,0.5,0,1.3,1,1,0,1,1,0
11,21,1,3,1,1,1,2.5,1.8,-0.7,4.7,0.7,3.7,0,1,2.7,1,0,1,4,1,1
11,22,1,5,0,0,1,3.7,4.3,0.6,3.5,1.2,5.2,1.8,0,3.4,1,2,0,4,1,1
11,23,1,8,1,0,1,1.5,4.6,3.1,2.6,0.6,2.6,0.8,0,1.8,1,2,0,2,1,1
11,24,1,9,1,0,1,2.6,11.2,8.6,1.5,0.8,8.3,7.8,0,0.5,1,5,0,1,1,1
11,25,2,10,0,1,1,4.5,4.1,-0.4,0.4,0.9,2,0,0.4,1.6,1,0,1,3,1,1
11,26,2,11,0,1,1,0.2,6.5,6.3,,6.7,2.3,1.6,0.7,0,1,3,1,0,1,1
11,27,2,6,0,0,1,1.1,8.7,7.6,0.9,4.5,2.3,1.4,0.5,0.4,1,2,1,1,1,1
11,28,2,3,1,0,1,1.4,4.5,3.1,6.7,2,2,1.6,0,0.4,1,2,0,1,1,1
11,29,2,11,0,1,1,0.6,6.8,6.2,1.6,0.5,6.4,3.4,0.5,2.5,1,3,1,3,1,1
11,30,2,4,0,1,1,0.4,4.5,4.1,0.8,8.8,6.4,2,4,0.4,1,3,4,1,1,1
11,31,2,1,0,0,1,0.6,7,6.4,,6.4,6.2,2.7,3.5,0,1,4,3,0,1,1
11,32,2,9,0,1,1,0,9.5,9.5,,4.1,6.5,4.7,1.8,0,1,5,3,0,1,1
11,33,2,3,0,1,1,1.2,3.4,2.2,2.2,2.8,6.1,1,0.4,4.7,1,2,1,6,1,1
11,34,2,11,0,1,1,1.2,0.3,-0.9,,13.1,5,0,5,0,1,0,6,0,1,1
11,35,2,10,0,1,1,1.1,1.1,0,,8.4,2.3,0.4,1.9,0,1,1,3,0,1,1
11,36,2,0,0,1,1,0.3,5.3,5,,5.4,5.4,2.8,2.6,0,1,4,3,0,1,1
11,37,2,10,0,1,1,2,1.1,-0.9,0.4,0.5,7.2,0,0,7.2,1,0,0,8,1,1
11,38,2,2,0,1,1,0,0.1,0.1,0.4,12,5,0.4,4.1,0.5,1,1,3,1,1,1
11,39,2,3,0,1,1,0.2,4.6,4.4,0.8,8.6,7.6,2.4,4.8,0.4,1,2,6,1,1,1
11,40,2,8,0,0,1,0.1,2.2,2.1,1.6,8.6,5.7,0.8,4.3,0.6,1,2,6,1,1,1
11,41,2,0,0,1,1,0.1,2.7,2.6,1.4,6.9,7.3,1,4.9,1.4,1,2,4,2,1,1
11,42,2,3,1,1,1,3.1,3.6,0.5,0.4,8.9,2.3,0.6,0.9,0.8,1,1,2,1,1,1
11,43,2,8,1,1,1,5.7,4.6,-1.1,,3.5,0.4,0,0.4,0,1,0,1,0,1,1
11,44,2,6,1,1,0,3,5.2,2.2,0.8,3.5,0.9,0.5,0,0.4,1,1,0,1,1,0
11,45,2,7,1,0,0,0.7,10.3,9.6,2.3,0.5,1.5,0.8,0,0.7,1,1,0,1,1,0
11,46,2,0,1,0,0,1.1,,,,,,,,,1,,,,0,0
