participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,r_l,regularity_updated
17,42.0,-0.24754665,-0.1574323466666666,-0.29918321,-270.9833333333333,220.6266666666667,-16.812380485481288,4.201873550706721,-0.5,-15.0,-19.20187355070672,4.0,2.9,2.0,3.5,0.0,0.5,2.0,0.0,1.0,2.1881214743066755,far,dense,0.0,0.0,120,2,1,1,1.0,1
17,44.0,-0.2412149766666667,-0.22656549,-0.27245731,-408.71,2649.69,-21.283070402186176,13.961182381115732,-0.5,-15.0,-28.96118238111573,3.0,0.6,2.0,2.1,0.0,0.9,3.0,0.0,1.0,2.7844382716501115,far,dense,0.0,0.0,120,2,1,1,1.0,1
17,47.0,-0.2705162266666667,-0.22112164,-0.27869431,-53.586666666666666,191.34,-12.94854358786497,-10.202849877591966,-0.5,-14.0,-3.797150122408036,9.6,3.5,2.0,6.400000000000001,0.0,3.2000000000000006,1.0,0.0,4.0,1.6390638720789257,far,dense,0.0,0.0,120,2,1,1,1.0,1
17,51.0,-0.42133653,-0.3753613833333333,-0.5414248133333334,-87.14333333333332,228.91333333333336,-30.334779334188607,-17.82502515239405,-0.5,-24.0,-6.174974847605951,5.2,0.6999999999999998,3.0,2.5,0.0,2.7000000000000006,4.0,0.0,1.0,7.494515416196097,near,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,53.0,-0.2485091033333333,-0.23118803,-0.2886006633333333,-281.63,162.78666666666663,-17.1549569309207,3.9562961366093865,-0.5,-16.0,-19.956296136609385,5.0,2.7999999999999994,3.0,1.3,1.6000000000000003,2.1,1.0,1.0,3.0,4.827214752460163,near,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,59.0,-0.3286032166666666,-0.1299187566666666,-0.2373862866666666,176.57333333333335,120.31333333333332,9.772344579226546,25.48801715077143,0.5,38.0,12.511982849228565,8.1,2.6,3.0,5.2,0.0,2.9,3.0,0.0,2.0,3.6770430512021854,near,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,73.0,-0.3159691699999999,-0.17280257,-0.26723058,106.07333333333334,-18.536666666666672,5.542341975951423,10.483645733063668,0.5,18.0,7.516354266936335,7.5,1.2,4.0,0.0,0.0,7.5,0.0,0.0,7.0,2.138827657815954,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,82.0,-0.3304749133333333,-0.1219255233333333,-0.29633523,240.0133333333333,-93.31666666666666,8.734202350292428,10.992660026507329,0.5,28.0,17.007339973492673,5.1,2.5,4.0,0.0,0.0,5.1,0.0,0.0,7.0,3.0276371856021185,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,83.0,-0.3216062066666666,-0.0917237666666666,-0.2944623633333333,288.69,-165.36333333333334,10.69137061290501,20.54343240536248,0.5,41.0,20.45656759463752,5.400000000000001,3.2999999999999994,4.0,0.5,1.0,3.9,1.0,2.0,3.0,3.577363640477824,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,85.0,-0.3117811966666666,-0.1150959433333333,-0.2733676233333333,141.51333333333335,-16.07333333333334,7.946584803014582,23.97236804573832,0.5,34.0,10.02763195426168,8.6,2.0,4.0,3.1,0.4000000000000001,5.1,2.0,1.0,6.0,2.8389351372951244,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,87.0,-0.3081591433333333,-0.1105980433333333,-0.2875842466666666,313.4066666666667,-111.54,10.772169545923536,15.79200990239809,0.5,38.0,22.207990097601908,5.2,2.5,4.0,3.5,0.5,1.2,1.0,1.0,1.0,3.985399328528724,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,89.0,-0.3207131733333333,-0.1180919633333333,-0.2656482866666667,77.5,173.40333333333334,6.769629371739307,18.84168489180641,0.5,24.33333333333333,5.491648441526924,6.2,2.3,4.0,0.0,1.8,4.4,0.0,1.0,4.0,3.3859540349708848,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
17,90.0,-0.3294635733333333,-0.1424156433333333,-0.2535815333333333,134.20000000000002,140.64,7.398857112568964,10.490590698672088,0.5,20.0,9.509409301327912,5.8,1.8,4.0,4.5,0.6999999999999998,0.6,4.0,1.0,1.0,2.927181844256573,far,non_dense,0.0,0.0,120,2,1,1,1.0,1
