participant,trigger,x,y,z,gx,gy,target,difference,side,angle_p,angle_g,l_g,l_p,cond,sgb,sgm,sgc,f_b,f_m,f_c,h_B_w,distance,dense_column,VS left,VS right,Height,DomHand,regularity,Geschlecht,regularity_updated,mrde,predict
29,29.0,-0.22340141,-0.1836573433333333,-0.2875692933333333,312.33,-23.92,11.987945935424063,-4.265720479509008,0.5,20.0,24.26572047950901,3.0,1.6000000000000003,2.0,0.6999999999999998,1.5,0.8000000000000002,1.0,1.0,1.0,2.146533638014497,far,dense,2.0,0.75,122,2,1,2,1,0.1650985537722076,11.633556336164474
63,59.0,-0.3635994099999999,-0.1113007233333333,-0.2115282733333333,337.33666666666664,-188.54,11.256672165712226,-4.268619571825805,0.5,21.0,25.26861957182581,6.7,2.0,3.0,3.5,2.4,0.8000000000000002,2.0,1.0,1.0,3.918115045480681,near,non_dense,99.0,99.0,119,2,1,1,1,0.1717820629824745,11.92973405122757
63,65.0,-0.2592256266666666,-0.31174891,-0.2657496433333333,-270.78333333333336,-178.73333333333335,-10.834778385547594,5.283359956099936,-0.5,-15.0,-20.283359956099936,4.7,1.9,3.0,3.5,0.4000000000000001,0.8000000000000002,2.0,1.0,1.0,4.333857886639541,near,non_dense,99.0,99.0,119,2,1,1,1,0.1726393236537845,-10.086584091186523
29,72.0,-0.20581109,-0.3033561899999999,-0.3535515666666666,-706.1666666666666,-907.1666666666666,-12.610416657239204,12.877489680550228,-0.5,-22.0,-34.877489680550234,3.6,0.6,3.0,1.2,1.6000000000000003,0.8000000000000002,1.0,1.0,1.0,4.119673252154688,near,non_dense,2.0,0.75,122,2,1,2,1,0.1759321559019377,-13.335199654102324
28,61.0,-0.4541598166666666,-0.0933811066666666,-0.2058586166666666,88.02333333333331,58.51000000000001,10.263048287798595,9.012401299060407,0.5,16.0,6.98759870093959,9.0,2.1,3.0,1.0,4.7,3.2999999999999994,1.0,1.0,4.0,4.715581831632921,near,non_dense,0.0,0.0,115,2,1,1,1,0.1761119265017591,9.432578086853027
15,31.0,-0.1767093033333333,-0.1411012866666666,-0.2091167866666666,57.78333333333334,-54.49,14.166596805178118,25.213983952657344,0.5,29.666666666666668,4.452682714009323,10.4,0.6999999999999998,2.0,2.4,2.2,5.8,3.0,1.0,3.0,3.9529632940785966,far,dense,0.0,0.0,123,1,1,2,1,0.1770106325423657,14.866313338279724
28,13.0,-0.4710580333333333,-0.0726655233333333,-0.21798946,355.6366666666667,-37.84,11.466570411391857,-12.231676941793694,0.5,16.0,28.23167694179369,5.1,1.8,1.0,0.0,2.6,2.5,0.0,2.0,2.0,1.725918203173829,near,dense,0.0,0.0,115,2,1,1,1,0.1775080424714024,11.16020604968071
63,22.0,-0.2958641233333333,-0.0924850666666666,-0.2226371066666666,323.8233333333333,-97.18,13.43055003523014,11.743613348245946,0.5,36.0,24.256386651754053,4.3,1.2,1.0,1.1,1.2,2.0,1.0,1.0,2.0,2.182406941275771,near,dense,99.0,99.0,119,2,1,1,1,0.1895286227089453,13.84417861700058
28,74.0,-0.4821852466666667,-0.1337371166666666,-0.2204552533333333,219.37,59.95666666666667,7.301707358196815,-10.414354455543434,0.5,7.0,17.41435445554343,6.8,1.7,4.0,0.0,2.0,4.8,0.0,2.0,6.0,2.5087895536140867,far,non_dense,0.0,0.0,115,2,1,1,1,0.1947824368196444,7.790375500917435
29,95.0,-0.23237757,-0.14563451,-0.24846391,349.1266666666667,-113.78999999999998,12.89325067284517,4.8754519089551165,0.5,32.0,27.12454809104489,3.9,1.1,4.0,0.4000000000000001,1.1,2.4,1.0,1.0,3.0,4.632996469057185,far,non_dense,2.0,0.75,122,2,1,2,1,0.2068416358108688,13.851547241210938
28,6.0,-0.4667663766666667,-0.07882442,-0.21659684,322.8233333333333,-86.76333333333334,11.089055864395087,-7.626840284390376,0.5,18.0,25.62684028439037,5.7,2.1,1.0,0.0,1.6000000000000003,4.1,0.0,2.0,5.0,1.6267543418350765,near,dense,0.0,0.0,115,2,1,1,1,0.2140911977756094,11.437329649925232
63,53.0,-0.2751596966666667,-0.3525349066666667,-0.2597583833333333,-436.16,-158.81333333333333,-16.333792464880137,-0.995563280986057,-0.5,-33.666666666666664,-32.67110338568061,0.8000000000000002,1.2,3.0,0.0,0.4000000000000001,0.4000000000000001,0.0,1.0,1.0,4.637370743784323,near,non_dense,99.0,99.0,119,2,1,1,1,0.2150963216032859,-17.33127385377884
28,62.0,-0.4341935133333334,-0.0419541966666666,-0.2034944199999999,454.9766666666667,-53.91999999999999,13.81892133983168,-10.45096538117473,0.5,25.666666666666668,36.1176320478414,3.5,2.1,3.0,0.4000000000000001,0.8000000000000002,2.3,1.0,1.0,2.0,5.102437449585142,near,non_dense,0.0,0.0,115,2,1,1,1,0.2153979025056883,14.917975664138794
38,65.0,-0.40842069,-0.3058203566666667,-0.2006416933333333,-117.97333333333331,8.810000000000002,-9.77901002359076,-5.233092565774181,-0.5,-15.0,-9.76690743422582,6.099999999999999,0.4000000000000001,3.0,4.2,0.0,1.9,1.0,0.0,2.0,4.121124807290754,near,non_dense,2.0,2.0,115,2,1,2,1,0.2168854057544096,-10.67282184958458
73,16.0,-0.33255301,-0.03388928,-0.2194139933333333,552.4333333333334,-80.51,19.453974661831648,-4.922302177464829,0.5,38.0,42.92230217746484,2.5,3.0,1.0,0.4000000000000001,1.6000000000000003,0.5,1.0,1.0,1.0,3.3142171686351367,near,dense,0.0,0.0,114,2,1,1,1,0.2176719158563108,18.73256266117096
